fiscalDateEnding,totalRevenue,netIncome,ticker
31/03/2020,3506512000,102250000,CSAN
31/12/2019,3436227000,792544000,CSAN
30/09/2019,3686247000,818885000,CSAN
30/06/2024,5425400000,144800000,MUSA
31/03/2024,4819200000,66000000,MUSA
31/12/2023,5144000000,150000000,MUSA
30/09/2023,5772800000,167700000,MUSA
30/06/2023,5560500000,132800000,MUSA
31/03/2023,5052100000,106300000,MUSA
31/12/2022,5425700000,117700000,MUSA
30/09/2022,6173200000,219500000,MUSA
30/06/2022,6748400000,183300000,MUSA
31/03/2022,5098800000,152400000,MUSA
31/12/2021,4828800000,108800000,MUSA
30/09/2021,4580200000,104000000,MUSA
30/06/2021,4435500000,128800000,MUSA
31/03/2021,3516000000,55300000,MUSA
31/12/2020,2898200000,61000000,MUSA
30/09/2020,2826600000,66900000,MUSA
30/06/2020,2367900000,168900000,MUSA
31/03/2020,3171600000,89300000,MUSA
31/12/2019,3517000000,47600000,MUSA
30/09/2019,3627700000,69200000,MUSA
30/06/2024,6127144000,-608700000,BILI
31/03/2024,6127144000,-608700000,BILI
31/12/2023,5664600000,-748545000,BILI
30/09/2023,6349096000,-1296484000,BILI
30/06/2023,5805081000,-1351444000,BILI
31/03/2023,6142486000,-1497036000,BILI
31/12/2022,5069611000,-629645000,BILI
30/09/2022,5793651000,-1716040000,BILI
30/06/2022,5793651000,-1716040000,BILI
31/03/2022,5054099000,-2281982000,BILI
31/12/2021,5780783000,-2088014000,BILI
30/09/2021,5206574000,-2677081000,BILI
30/06/2021,4495254000,-1120578000,BILI
31/03/2021,4495254000,-1120578000,BILI
31/12/2020,3840127000,-827799000,BILI
30/09/2020,3225713000,-1082016000,BILI
30/06/2020,2617601000,-566648000,BILI
31/03/2020,2315535000,-538555000,BILI
31/12/2019,2007769000,-382841000,BILI
30/09/2019,1858963000,-407357000,BILI
30/06/2024,8772100000,1122600000,PCAR
31/03/2024,8744300000,1195300000,PCAR
31/12/2023,9076600000,1417300000,PCAR
30/09/2023,8696400000,1228500000,PCAR
30/06/2023,8881100000,1221100000,PCAR
31/03/2023,8473300000,733900000,PCAR
31/12/2022,8129500000,921300000,PCAR
30/09/2022,7058900000,769400000,PCAR
30/06/2022,7158700000,720400000,PCAR
31/03/2022,6472600000,600500000,PCAR
31/12/2021,6686100000,518700000,PCAR
30/09/2021,5146800000,380500000,PCAR
30/06/2021,5843900000,495500000,PCAR
31/03/2021,5845500000,470800000,PCAR
31/12/2020,5568600000,405800000,PCAR
30/09/2020,4936000000,385500000,PCAR
30/06/2020,3062200000,147700000,PCAR
31/03/2020,5161700000,359400000,PCAR
31/12/2019,6117200000,531300000,PCAR
30/09/2019,6367000000,607900000,PCAR
30/06/2024,5594387000,188159000,PWR
31/03/2024,4990747000,118360000,PWR
31/12/2023,5734448000,210908000,PWR
30/09/2023,5573291000,272836000,PWR
30/06/2023,5000421000,165899000,PWR
31/03/2023,4390889000,95046000,PWR
31/12/2022,4386561000,162572000,PWR
30/09/2022,4432925000,155956000,PWR
30/06/2022,4203448000,88020000,PWR
31/03/2022,3941409000,84641000,PWR
31/12/2021,3889136000,104797000,PWR
30/09/2021,3341997000,174365000,PWR
30/06/2021,2991579000,117033000,PWR
31/03/2021,2696088000,89761000,PWR
31/12/2020,2899719000,170051000,PWR
30/09/2020,3011358000,162913000,PWR
30/06/2020,2498735000,73946000,PWR
31/03/2020,2750903000,38686000,PWR
31/12/2019,3112800000,118144000,PWR
30/09/2019,3334135000,136068000,PWR
30/06/2024,13483000000,1405000000,EPD
