fiscalDateEnding,totalRevenue,netIncome,ticker
2021-03-31,10627000000.0,3179000000,MRK
2020-12-31,10948000000.0,-2094000000,MRK
2020-09-30,10929000000.0,2941000000,MRK
2020-06-30,9353000000.0,3002000000,MRK
2020-03-31,12057000000.0,3219000000,MRK
2019-12-31,4149000000.0,2356000000,MRK
2024-09-30,15046000000.0,2071000000,BUD
2024-06-30,29880000000.0,2564000000,BUD
2024-03-31,14547000000.0,1091000000,BUD
2023-12-31,14547000000.0,1091000000,BUD
2023-09-30,15574000000.0,1472000000,BUD
2023-06-30,15120000000.0,339000000,BUD
2023-03-31,14213000000.0,1639000000,BUD
2022-12-31,14668000000.0,2844000000,BUD
2022-09-30,15091000000.0,1433000000,BUD
2022-06-30,14792000000.0,2175000000,BUD
2022-03-31,13235000000.0,299000000,BUD
2021-12-31,14198000000.0,1963000000,BUD
2021-09-30,14274000000.0,249000000,BUD
2021-06-30,13539000000.0,1863000000,BUD
2021-03-31,12293000000.0,595000000,BUD
2020-12-31,12767000000.0,2265000000,BUD
2020-09-30,12816000000.0,1040000000,BUD
2020-06-30,10294000000.0,350000000,BUD
2020-03-31,11003000000.0,-2250000000,BUD
2019-12-31,13334000000.0,113000000,BUD
2024-09-30,10598000000.0,1629000000,TMO
2024-06-30,10541000000.0,1547000000,TMO
2024-03-31,9982000000.0,1327000000,TMO
2023-12-31,10429000000.0,1630000000,TMO
2023-09-30,10215000000.0,1715000000,TMO
2023-06-30,10361000000.0,1361000000,TMO
2023-03-31,10410000000.0,1289000000,TMO
2023-03-31,10410000000.0,1289000000,TMO
2022-12-31,11243000000.0,1576000000,TMO
2022-09-30,10504000000.0,-26000000,TMO
2022-06-30,10822000000.0,1664000000,TMO
2022-03-31,11656000000.0,-26000000,TMO
2021-12-31,9996000000.0,1658000000,TMO
2021-09-30,9202000000.0,1902000000,TMO
2021-06-30,9151000000.0,1828000000,TMO
2021-03-31,9584000000.0,-197000000,TMO
2020-12-31,10428000000.0,2498000000,TMO
2020-09-30,8377000000.0,1933000000,TMO
2020-06-30,6780000000.0,1156000000,TMO
2020-03-31,6104000000.0,788000000,TMO
2019-12-31,6829000000.0,3035000000,TMO
2024-09-30,5494000000.0,834000000,SYK
2024-06-30,5422000000.0,825000000,SYK
2024-03-31,5243000000.0,788000000,SYK
2023-12-31,5815000000.0,1143000000,SYK
2023-09-30,4909000000.0,692000000,SYK
2023-06-30,4996000000.0,738000000,SYK
2023-03-31,4778000000.0,592000000,SYK
2022-12-31,5202000000.0,563000000,SYK
2022-09-30,4479000000.0,816000000,SYK
2022-06-30,4493000000.0,656000000,SYK
2022-03-31,4275000000.0,323000000,SYK
2021-12-31,4701000000.0,662000000,SYK
2021-09-30,4160000000.0,438000000,SYK
2021-06-30,4294000000.0,592000000,SYK
2021-03-31,3953000000.0,302000000,SYK
2020-12-31,4262000000.0,568000000,SYK
2020-09-30,3737000000.0,621000000,SYK
2020-06-30,2764000000.0,-83000000,SYK
2020-03-31,3588000000.0,493000000,SYK
2019-12-31,4131000000.0,725000000,SYK
2024-09-30,2036389000.0,1005719000,PLD
2024-06-30,2007954000.0,861348000,PLD
2024-03-31,1956621000.0,585715000,PLD
2023-12-31,1889247000.0,630936000,PLD
2023-09-30,1914664000.0,747627000,PLD
2023-06-30,2450971000.0,1216028000,PLD
2023-03-31,1768587000.0,464623000,PLD
2022-12-31,1751592000.0,587214000,PLD
2022-09-30,1750892000.0,1015464000,PLD
2022-06-30,1252080000.0,611393000,PLD
2022-03-31,1219128000.0,1150785000,PLD
2021-12-31,1277233000.0,1248662000,PLD
2021-09-30,1183049000.0,723538000,PLD
2021-06-30,1150842000.0,600176000,PLD
2021-03-31,1148316000.0,367347000,PLD
2020-12-31,1111597000.0,281894000,PLD
2020-09-30,1082773000.0,302694000,PLD
2020-06-30,1266124000.0,406173000,PLD
2020-03-31,978241000.0,491053000,PLD
2019-12-31,826016000.0,386991000,PLD
2024-09-30,2522300000.0,-792300000,AMT
2024-03-31,2834100000.0,917400000,AMT
2023-12-31,2786700000.0,84900000,AMT
2023-09-30,2521100000.0,586900000,AMT
2023-06-30,2771700000.0,475700000,AMT
2023-03-31,2767200000.0,335800000,AMT
2022-12-31,2705000000.0,-683800000,AMT
2022-09-30,2671500000.0,839700000,AMT
2022-06-30,2674300000.0,898200000,AMT
2022-03-31,2660300000.0,711700000,AMT
2021-12-31,2445200000.0,453400000,AMT
2021-09-30,2454300000.0,723000000,AMT
2021-06-30,2298900000.0,746300000,AMT
2021-03-31,2158500000.0,645000000,AMT
2020-12-31,2122500000.0,365100000,AMT
2020-09-30,2012900000.0,464400000,AMT
2020-06-30,1913000000.0,446100000,AMT
2020-03-31,1993100000.0,415000000,AMT
2019-12-31,1923700000.0,562700000,AMT
2024-06-30,12938000000.0,1927000000,AZN
2024-03-31,12938000000.0,1927000000,AZN
2023-12-31,12679000000.0,2179000000,AZN
2023-09-30,11492000000.0,1374000000,AZN
2023-06-30,11416000000.0,1818000000,AZN
2023-03-31,10879000000.0,1803000000,AZN
2022-12-31,11207000000.0,901000000,AZN
2022-09-30,10982000000.0,1640000000,AZN
2022-06-30,10771000000.0,360000000,AZN
2022-03-31,11390000000.0,386000000,AZN
2021-12-31,12011000000.0,-347000000,AZN
2021-09-30,9866000000.0,-1652000000,AZN
2021-06-30,8220000000.0,550000000,AZN
2021-03-31,7320000000.0,1561000000,AZN
2020-12-31,7410000000.0,1012000000,AZN
2020-09-30,6578000000.0,648000000,AZN
2020-06-30,6275000000.0,756000000,AZN
2020-03-31,6354000000.0,780000000,AZN
2019-12-31,6664000000.0,313000000,AZN
2024-06-30,3826255314.0,274000000,SPOT
2024-03-31,3636000000.0,197000000,SPOT
2023-12-31,3636000000.0,197000000,SPOT
2023-09-30,3357000000.0,65000000,SPOT
2023-06-30,3466826713.0,-329550414,SPOT
2023-03-31,3042000000.0,-225000000,SPOT
