Ticker,Oldest Revenue Year,Oldest Revenue,Most Recent Revenue Year,Most Recent Revenue,Percent Change
TFX,2020,2537156000.0,2023,2974489000.0,17.24%
GOTU,2020,7124744000.0,2023,2960813000.0,-58.44%
ENR,2020,2744800000.0,2023,2959700000.0,7.83%
EM,2020,2809359000.0,2023,2958647000.0,5.31%
QUAD,2020,2929600000.0,2023,2957700000.0,0.96%
RXT,2020,2707100000.0,2023,2957100000.0,9.23%
CRI,2020,3024334000.0,2023,2945594000.0,-2.60%
POR,2020,2145000000.0,2023,2923000000.0,36.27%
TGNA,2020,2937780000.0,2023,2910930000.0,-0.91%
SABR,2020,1334100000.0,2023,2907738000.0,117.96%
CTRI,2020,1948288000.0,2023,2899276000.0,48.81%
MTN,2020,1963704000.0,2023,2889364000.0,47.14%
ARE,2020,1885637000.0,2023,2885699000.0,53.04%
RDUS,2020,1712343000.0,2023,2882224000.0,68.32%
AFYA,2020,1201191000.0,2023,2875913000.0,139.42%
EQR,2020,2571705000.0,2023,2873964000.0,11.75%
HP,2020,1773927000.0,2023,2872421000.0,61.92%
RIG,2020,3152000000.0,2023,2832000000.0,-10.15%
HI,2020,2517000000.0,2023,2826000000.0,12.28%
VSTS,2020,2561996000.0,2023,2825286000.0,10.28%
BV,2020,2346000000.0,2023,2816000000.0,20.03%
CPS,2020,2375439000.0,2023,2815879000.0,18.54%
PTON,2021,4021800000.0,2023,2800300000.0,-30.37%
RBLX,2020,923885000.0,2023,2799274000.0,202.99%
ASTL,2021,1794900000.0,2023,2778500000.0,54.80%
MODV,2020,1368675000.0,2023,2751170000.0,101.01%
ETSY,2020,1725625000.0,2023,2748377000.0,59.27%
AE,2020,1022422000.0,2023,2745293000.0,168.51%
HA,2020,844813000.0,2023,2716284000.0,221.52%
AMCX,2020,2814956000.0,2023,2711877000.0,-3.66%
SBAC,2020,2083138000.0,2023,2711584000.0,30.17%
TIXT,2020,1582000000.0,2023,2708000000.0,71.18%
AQN,2020,1676991000.0,2023,2698015000.0,60.88%
PK,2020,852000000.0,2023,2698000000.0,216.67%
GES,2021,1876529000.0,2023,2687350000.0,43.21%
AL,2020,2015439000.0,2023,2684977000.0,33.22%
OGE,2020,2122300000.0,2023,2674300000.0,26.01%
COLD,2020,1987727000.0,2023,2673329000.0,34.49%
BIO,2020,2545626000.0,2023,2671262000.0,4.94%
SR,2020,1855400000.0,2023,2666300000.0,43.70%
